id,name,countyFIPS,population,totDeaths,totCases,Mortality Rate,Tot_UN_IN,NUM_Unins,NUM_Ins,Uninsured Rate,POV_UNI,EST_TOT_PV,Poverty Rate,MEDI_INC,UND_18,UND_18_POV,Poverty Rate Under 18,Infection Rate
0,Larimer,C-8069,356899,57,4274,0.013336453,288954,20480,268474,0.070876333,341856,36054,0.105465459,71306,68066,5812,0.085387712,0.011975377
1,Las Animas,C-8071,14506,1,82,0.012195122,10086,1264,8822,0.125322229,13700,2626,0.191678832,41485,2700,719,0.266296296,0.005652833
2,Fremont,C-8043,47839,2,754,0.00265252,29400,2489,26911,0.084659864,39552,6525,0.164972694,47885,7654,1693,0.221191534,0.015761199
3,Gunnison,C-8051,17462,7,313,0.022364217,13992,1521,12471,0.108704974,16199,1678,0.103586641,61268,2904,301,0.103650138,0.017924636
4,Conejos,C-8021,8205,0,74,0,6444,696,5748,0.108007449,8170,1747,0.213831089,38777,2117,582,0.274917336,0.009018891
5,Eagle,C-8037,55127,10,1492,0.006702413,48455,6078,42377,0.125435972,54792,3673,0.067035334,86896,11854,959,0.080900962,0.027064778
6,Otero,C-8089,18278,7,168,0.041666667,13948,1476,12472,0.105821623,17863,3722,0.208363657,40064,4333,1297,0.299330718,0.009191378
7,La Plata,C-8067,56221,2,386,0.005181347,44944,4566,40378,0.101593094,54535,5005,0.091775924,66219,10593,1148,0.108373454,0.006865762
8,Summit,C-8117,31011,4,751,0.005326232,26683,3186,23497,0.119401866,30884,2056,0.066571688,80078,4960,350,0.070564516,0.024217213
9,Custer,C-8027,5068,0,22,0,3184,367,2817,0.115263819,4797,576,0.120075047,55242,678,169,0.249262537,0.004340963
10,Pitkin,C-8097,17767,2,293,0.006825939,14505,1701,12804,0.117269907,17907,1222,0.06824147,89034,2679,166,0.061963419,0.016491248
11,Crowley,C-8025,6061,1,96,0.010416667,2253,265,1988,0.11762095,3025,1341,0.443305785,35880,664,197,0.296686747,0.01583897
12,Cheyenne,C-8017,1831,0,15,0,1453,192,1261,0.132140399,1825,230,0.126027397,54504,455,93,0.204395604,0.008192245
13,Bent,C-8011,5577,0,18,0,2958,315,2643,0.106490872,3990,1353,0.339097744,37659,876,266,0.303652968,0.003227542
14,Adams,C-8001,517421,262,14830,0.017666891,451784,47699,404085,0.105579215,506787,46711,0.092170873,70199,134158,16897,0.125948508,0.02866138
15,Elbert,C-8039,26729,3,232,0.012931034,22070,1565,20505,0.070910739,26153,1312,0.050166329,98247,5650,409,0.072389381,0.008679711
16,Yuma,C-8125,10019,1,223,0.004484305,7928,1156,6772,0.145812311,9803,1191,0.12149342,53253,2688,445,0.165550595,0.02225771
17,Lake,C-8065,8127,0,135,0,6523,885,5638,0.13567377,7683,970,0.126252766,51802,1536,284,0.184895833,0.016611296
